sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HGDP00736	female			Palestinian		Middle East 
HGDP01275	female			Mozabite		Middle East 
NA19787	male	SAME123148	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00748	male			Japanese		East Asia 
HGDP01282	male			Mozabite		Middle East 
NA19794	female	SAME123328	MXL	Mexican Ancestry	AMR	American Ancestry
HGDP00750	male			Japanese		East Asia 
HGDP01287	female			Northern Han		East Asia 
NA19819	female	SAME124676	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00755	male			Japanese		East Asia 
HGDP01294	male			Northern Han		East Asia 
NA19908	male	SAME125053	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00762	male			Japanese		East Asia 
HGDP01299	male			Uygur		Central South Asia 
NA19915	male	SAME125274	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00678	male			Palestinian		Middle East 
HGDP01155	male			Bergamo Italian		Europe 
NA19922	male	SAME124711	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00680	female			Palestinian		Middle East 
HGDP01162	male			Tuscan		Europe 
NA19984	male	SAME124287	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00685	female			Palestinian		Middle East 
HGDP01167	male			Tuscan		Europe 
NA20126	male	SAME122885	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00692	female			Palestinian		Middle East 
HGDP01174	male			Bergamo Italian		Europe 
NA20277	female	SAME123613	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00697	female			Palestinian		Middle East 
HGDP01181	male			Yi		East Asia 
NA20284	male	SAME124581	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00700	female			Palestinian		Middle East 
HGDP01186	male			Yi		East Asia 
NA20289	female	SAME124579	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00604	male			Druze		Middle East 
HGDP01218	male			Daur		East Asia 
NA20291	male	SAME124373	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00609	male			Bedouin		Middle East 
HGDP01220	male			Daur		East Asia 
NA20296	female	SAME124380	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00611	male			Bedouin		Middle East 
HGDP01225	male			Mongolian		East Asia 
NA20828	female	SAME123076	TSI	Toscani	EUR	European Ancestry
HGDP00623	male			Bedouin		Middle East 
HGDP01232	female			Mongolian		East Asia 
NA20847	female	SAME123432	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00628	male			Bedouin		Middle East 
HGDP01237	male			Hezhen		East Asia 
NA20854	female	SAME123248	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00630	male			Bedouin		Middle East 
HGDP01244	male			Xibo		East Asia 
NA20859	female	SAME123249	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00635	female			Bedouin		Middle East 
HGDP01249	male			Xibo		East Asia 
NA20861	male	SAME123807	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00642	male			Bedouin		Middle East 
HGDP01251	female			Xibo		East Asia 
NA20866	male	SAME123808	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00647	female			Bedouin		Middle East 
HGDP01256	male			Mozabite		Middle East 
NA20316	male	SAME123806	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00572	female			Druze		Middle East 
HGDP01263	male			Mozabite		Middle East 
NA20335	male	SAME124197	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00577	female			Druze		Middle East 
HGDP01268	male			Mozabite		Middle East 
NA20342	male	SAME124398	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00584	female			Druze		Middle East 
HGDP01270	female			Mozabite		Middle East 
NA20347	male	SAME124401	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00591	female			Druze		Middle East 
HGDP01193	male			Miao		East Asia 
NA20892	female	SAME123109	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00976	female			Han		East Asia 
HGDP01201	female			Mandenka		Africa 
NA20897	male	SAME123664	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00983	male			Mbuti		Africa 
HGDP01206	male			Oroqen		East Asia 
NA20900	female	SAME122920	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00995	female			Karitiana		America 
HGDP01213	male			Daur		East Asia 
NA20905	male	SAME122915	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01001	female			Karitiana		America 
HGDP01073	male			Sardinian		Europe 
NA21092	male	SAME123322	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01006	female			Karitiana		America 
HGDP01092	male			Biaka		Africa 
NA21097	female	SAME123319	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01013	male			Karitiana		America 
HGDP01097	male			Tujia		East Asia 
NA21100	male	SAME124440	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00832	female			Surui		America 
HGDP01100	male			Tujia		East Asia 
NA21105	male	SAME124437	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00837	male			Surui		America 
HGDP01369	female			Basque		Europe 
NA20873	male	SAME122841	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00849	male			Surui		America 
HGDP01371	male			Basque		Europe 
NA20878	female	SAME123595	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00856	male			Maya		America 
HGDP01376	male			Basque		Europe 
NA20885	male	SAME124525	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00863	female			Maya		America 
HGDP01383	male			Adygei		Europe 
NA21143	female	SAME123359	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00868	female			Maya		America 
HGDP01388	female			Adygei		Europe 
SC_GMFUL5306354	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00952	male			Yakut		East Asia 
HGDP01302	male			Uygur		Central South Asia 
SC_GMJOL5309914	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00957	female			Yakut		East Asia 
HGDP01319	male			Lahu		East Asia 
SC_GMJOL5309899	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00964	male			Yakut		East Asia 
HGDP01321	male			Lahu		East Asia 
SC_GMJOL5309907	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00969	male			Yakut		East Asia 
HGDP01326	male			Lahu		East Asia 
SC_GMFUL5306378	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00971	male			Han		East Asia 
HGDP01340	male			Naxi		East Asia 
SC_GMFUL5306397	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00899	female			Russian		Europe 
HGDP01352	male			Tu		East Asia 
SC_GMFUL5306405	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00902	female			Russian		Europe 
HGDP01357	male			Basque		Europe 
SC_GMFUL5306429	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00907	male			Mandenka		Africa 
HGDP00936	male	SAMEA3302730		Yoruba		Africa 
SC_GMFUL5309738	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00914	female			Mandenka		Africa 
Kor82	female	SAMEA3302806		Itelman		Central Asia and Siberia 
SC_GMFUL5306366	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00919	male			Mandenka		Africa 
CHI-034	female	SAMEA3302826		Thai		East Asia 
SC_GMFUL5309719	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00767	male			Japanese		East Asia 
NA17386	male	SAMEA3302905		Maori		Oceania 
